Rank,CCA3,Country,2022 Population,2020 Population,2015 Population,Area (km),Density (per km),Growth Rate,World Population Percentage
36,AFG,Afghanistan,41128771,38972230,33753499,652230,63.0587,1.0257,0.52
138,ALB,Albania,2842321,2866849,2882481,28748,98.8702,0.9957,0.04
34,DZA,Algeria,44903225,43451666,39543154,2381741,18.8531,1.0164,0.56
213,ASM,American Samoa,44273,46189,51368,199,222.4774,0.9831,0
203,AND,Andorra,79824,77700,71746,468,170.5641,1.01,0
42,AGO,Angola,35588987,33428485,28127721,1246700,28.5466,1.0315,0.45
224,AIA,Anguilla,15857,15585,14525,91,174.2527,1.0066,0
201,ATG,Antigua and Barbuda,93763,92664,89941,442,212.1335,1.0058,0
33,ARG,Argentina,45510318,45036032,43257065,2780400,16.3683,1.0052,0.57
140,ARM,Armenia,2780469,2805608,2878595,29743,93.4831,0.9962,0.03
198,ABW,Aruba,106445,106585,104257,180,591.3611,0.9991,0
55,AUS,Australia,26177413,25670051,23820236,7692024,3.4032,1.0099,0.33
99,AUT,Austria,8939617,8907777,8642421,83871,106.5877,1.002,0.11
91,AZE,Azerbaijan,10358074,10284951,9863480,86600,119.6082,1.0044,0.13
176,BHS,Bahamas,409984,406471,392697,13943,29.4043,1.0051,0.01
154,BHR,Bahrain,1472233,1477469,1362142,765,1924.4876,1.0061,0.02
8,BGD,Bangladesh,171186372,167420951,157830000,147570,1160.035,1.0108,2.15
186,BRB,Barbados,281635,280693,278083,430,654.9651,1.0015,0
96,BLR,Belarus,9534954,9633740,9700609,207600,45.9295,0.9955,0.12
81,BEL,Belgium,11655930,11561717,11248303,30528,381.8111,1.0038,0.15
177,BLZ,Belize,405272,394921,359871,22966,17.6466,1.0131,0.01
77,BEN,Benin,13352864,12643123,10932783,112622,118.5635,1.0274,0.17
206,BMU,Bermuda,64184,64031,63144,54,1188.5926,1,0
165,BTN,Bhutan,782455,772506,743274,38394,20.3796,1.0064,0.01
80,BOL,Bolivia,12224110,11936162,11090085,1098581,11.1272,1.012,0.15
137,BIH,Bosnia and Herzegovina,3233526,3318407,3524324,51209,63.1437,0.9886,0.04
144,BWA,Botswana,2630296,2546402,2305171,582000,4.5194,1.0162,0.03
7,BRA,Brazil,215313498,213196304,205188205,8515767,25.2841,1.0046,2.7
221,VGB,British Virgin Islands,31305,30910,29366,151,207.3179,1.0059,0
